winner_id,loser_id,winner_score,loser_score,winner_reasoning,loser_reasoning
CAND_0000614,CAND_0001535,93,51,"Evaluated offline: 7.9 years exp, 83% response rate.","Evaluated offline: 2.8 years exp, 7% response rate."
CAND_0000859,CAND_0001743,92,51,"Evaluated offline: 5.9 years exp, 77% response rate.","Evaluated offline: 11.5 years exp, 7% response rate."
CAND_0000063,CAND_0000220,91,51,"Evaluated offline: 5.4 years exp, 77% response rate.","Evaluated offline: 10.9 years exp, 8% response rate."
CAND_0000031,CAND_0000651,91,51,"Evaluated offline: 6.0 years exp, 91% response rate.","Evaluated offline: 1.5 years exp, 6% response rate."
CAND_0000024,CAND_0000908,90,51,"Evaluated offline: 7.5 years exp, 78% response rate.","Evaluated offline: 2.9 years exp, 7% response rate."
CAND_0000611,CAND_0001439,90,51,"Evaluated offline: 7.1 years exp, 78% response rate.","Evaluated offline: 1.5 years exp, 8% response rate."
CAND_0001850,CAND_0000883,90,51,"Evaluated offline: 5.7 years exp, 80% response rate.","Evaluated offline: 14.9 years exp, 9% response rate."
CAND_0001475,CAND_0000212,90,51,"Evaluated offline: 5.8 years exp, 72% response rate.","Evaluated offline: 13.0 years exp, 6% response rate."
CAND_0001210,CAND_0000041,90,51,"Evaluated offline: 8.3 years exp, 84% response rate.","Evaluated offline: 13.7 years exp, 7% response rate."
CAND_0000745,CAND_0000478,89,51,"Evaluated offline: 7.4 years exp, 71% response rate.","Evaluated offline: 2.2 years exp, 8% response rate."
CAND_0000331,CAND_0000194,89,51,"Evaluated offline: 5.5 years exp, 69% response rate.","Evaluated offline: 1.8 years exp, 7% response rate."
CAND_0001096,CAND_0000369,89,51,"Evaluated offline: 6.3 years exp, 80% response rate.","Evaluated offline: 2.0 years exp, 8% response rate."
CAND_0001108,CAND_0000946,88,51,"Evaluated offline: 5.7 years exp, 82% response rate.","Evaluated offline: 12.6 years exp, 9% response rate."
CAND_0000599,CAND_0000504,88,51,"Evaluated offline: 7.8 years exp, 73% response rate.","Evaluated offline: 14.8 years exp, 9% response rate."
CAND_0001943,CAND_0000236,88,51,"Evaluated offline: 6.1 years exp, 69% response rate.","Evaluated offline: 10.3 years exp, 5% response rate."
CAND_0000664,CAND_0000239,88,51,"Evaluated offline: 7.4 years exp, 76% response rate.","Evaluated offline: 4.4 years exp, 5% response rate."
CAND_0000210,CAND_0000092,88,51,"Evaluated offline: 6.3 years exp, 60% response rate.","Evaluated offline: 4.8 years exp, 5% response rate."
CAND_0001588,CAND_0000266,88,51,"Evaluated offline: 5.9 years exp, 60% response rate.","Evaluated offline: 2.7 years exp, 8% response rate."
CAND_0000621,CAND_0000747,87,51,"Evaluated offline: 7.7 years exp, 76% response rate.","Evaluated offline: 10.8 years exp, 5% response rate."
CAND_0001545,CAND_0001971,87,51,"Evaluated offline: 6.9 years exp, 72% response rate.","Evaluated offline: 10.1 years exp, 6% response rate."
CAND_0000016,CAND_0001816,87,51,"Evaluated offline: 5.3 years exp, 64% response rate.","Evaluated offline: 9.4 years exp, 9% response rate."
CAND_0000259,CAND_0001364,87,51,"Evaluated offline: 6.7 years exp, 76% response rate.","Evaluated offline: 9.2 years exp, 8% response rate."
CAND_0001493,CAND_0001763,87,51,"Evaluated offline: 6.2 years exp, 80% response rate.","Evaluated offline: 11.9 years exp, 8% response rate."
CAND_0001925,CAND_0000224,87,51,"Evaluated offline: 6.3 years exp, 71% response rate.","Evaluated offline: 4.1 years exp, 9% response rate."
CAND_0000878,CAND_0000100,87,51,"Evaluated offline: 6.9 years exp, 56% response rate.","Evaluated offline: 13.5 years exp, 6% response rate."
CAND_0000604,CAND_0001219,87,51,"Evaluated offline: 5.4 years exp, 55% response rate.","Evaluated offline: 9.1 years exp, 6% response rate."
CAND_0000014,CAND_0001499,86,51,"Evaluated offline: 8.4 years exp, 80% response rate.","Evaluated offline: 14.4 years exp, 5% response rate."
CAND_0000082,CAND_0000176,86,51,"Evaluated offline: 7.4 years exp, 82% response rate.","Evaluated offline: 4.5 years exp, 5% response rate."
CAND_0000136,CAND_0001332,86,52,"Evaluated offline: 6.5 years exp, 81% response rate.","Evaluated offline: 11.2 years exp, 8% response rate."
CAND_0001967,CAND_0000783,86,52,"Evaluated offline: 7.5 years exp, 56% response rate.","Evaluated offline: 1.5 years exp, 11% response rate."
CAND_0001615,CAND_0001841,86,52,"Evaluated offline: 7.9 years exp, 81% response rate.","Evaluated offline: 9.8 years exp, 11% response rate."
CAND_0000821,CAND_0001335,86,52,"Evaluated offline: 6.9 years exp, 73% response rate.","Evaluated offline: 1.7 years exp, 13% response rate."
CAND_0001218,CAND_0000672,86,52,"Evaluated offline: 6.4 years exp, 82% response rate.","Evaluated offline: 2.1 years exp, 12% response rate."
CAND_0001025,CAND_0000518,86,52,"Evaluated offline: 7.9 years exp, 52% response rate.","Evaluated offline: 1.7 years exp, 14% response rate."
CAND_0000588,CAND_0001642,86,52,"Evaluated offline: 5.8 years exp, 65% response rate.","Evaluated offline: 14.6 years exp, 14% response rate."
CAND_0000130,CAND_0001199,86,52,"Evaluated offline: 8.6 years exp, 83% response rate.","Evaluated offline: 12.2 years exp, 7% response rate."
